(['respectively', 'banks', 'reviewed', 'economist'], 'reviewed')
(['ehealth', 'foodborne', 'visceral', 'trematodiases'], 'ehealth')
(['trachoma', 'lymphatic', 'filariasis', 'changes'], 'changes')
(['step', 'planetary', 'environmental', 'looking'], 'step')
(['blood', 'securing', 'expertise', 'resources'], 'blood')
(['highest', 'ivermectin', 'treated', 'solutions'], 'solutions')
(['pregnant', 'registry', 'peripheral', 'can'], 'can')
(['poor', 'review', 'living', 'increasing'], 'review')
(['prescriptions', 'status', 'integrity', 'collection'], 'status')
(['reactions', 'monitors', 'from', 'diagnosis'], 'from')
(['structure', 'establishing', 'consumers', 'guiding'], 'consumers')
(['requirementsde', 'what', 'sequence', 'telemedecine'], 'what')
(['sudan', 'function', 'amenable', 'chad'], 'function')
(['actions', 'symptoms', 'desk', 'planpage'], 'actions')
(['scientist', 'villagereach', 'appropriate', 'joined'], 'appropriate')
(['applications', 'ida', 'completed', 'ivermectin'], 'applications')
(['standards', 'passed', 'leste', 'ida'], 'standards')
(['greater', 'planannex', 'especially', 'affordable'], 'planannex')
(['solium', 'rabies', 'address', 'snakebite'], 'address')
(['copyright', 'infringement', 'improved', 'holder'], 'improved')
(['training', 'awareness', 'citation', 'curricula'], 'citation')
(['meaningful', 'targeted', 'consideration', 'animal'], 'animal')
(['november', 'software', 'round', 'second'], 'software')
(['analysis', 'years', 'largest', 'recent'], 'analysis')
(['risks', 'worked', 'visiting', 'professor'], 'risks')
(['collectively', 'demonstrating', 'electronic', 'sustainable'], 'electronic')
(['role', 'clear', 'products', 'roles'], 'products')
(['consulted', 'prescription', 'referrals', 'desk'], 'consulted')
(['districts', 'gather', 'nepal', 'toolbox'], 'gather')
(['specialist', 'connected', 'devices', 'set'], 'set')
(['disruptions', 'caused', 'crisis', 'communication'], 'communication')
(['developing', 'persons', 'families', 'encounters'], 'developing')
(['terms', 'fragmentation', 'reform', 'mobilize'], 'terms')
(['completion', 'toolkit', 'decreased', 'languages'], 'toolkit')
(['owning', 'resourcing', 'monitors', 'context'], 'context')
(['split', 'methodology', 'dog', 'levels'], 'levels')
(['reason', 'guidelines', 'sequencing', 'accomplishments'], 'guidelines')
(['perspective', 'strengthen', 'surveillance', 'tracking'], 'perspective')
(['extend', 'around', 'forward', 'resource'], 'resource')
(['launch', 'delivered', 'meetings', 'synergies'], 'delivered')
(['practice', 'highest', 'ivermectin', 'treated'], 'practice')
(['why', 'pregnant', 'registry', 'peripheral'], 'why')
(['confidentiality', 'strategic', 'analytics', 'big'], 'strategic')
(['lifestyles', 'proportion', 'provides', 'indigenous'], 'provides')
(['check', 'demographic', 'called', 'plans'], 'plans')
(['computing', 'internal', 'approached', 'brainstorming'], 'computing')
(['segments', 'criteria', 'shifting', 'isolation'], 'criteria')
(['timeframes', 'storage', 'monitors', 'cold'], 'timeframes')
(['services', 'relevance', 'subsequent', 'accelerated'], 'services')
(['realize', 'insufficient', 'was', 'resourcing'], 'was')
(['exhaustive', 'adapting', 'above', 'sample'], 'adapting')
(['indigenous', 'infections', 'infection', 'draft'], 'draft')
(['agreement', 'contributions', 'mentioned', 'reporting'], 'reporting')
(['poor', 'planetary', 'resilience', 'ensures'], 'ensures')
(['estimation', 'achievability', 'timings', 'pan'], 'pan')
(['society', 'consolidated', 'detailed', 'plandevelop'], 'society')
(['communicated', 'regularly', 'medicines', 'decisions'], 'medicines')
(['less', 'better', 'accessed', 'greater'], 'accessed')
(['legislative', 'causes', 'essential', 'divergences'], 'essential')
(['pheic', 'banks', 'terms', 'australian'], 'terms')
(['recipient', 'penetration', 'align', 'phones'], 'align')
(['guide', 'partner', 'transparency', 'increase'], 'increase')
(['equatorial', 'protection', 'nepal', 'togo'], 'protection')
(['institutional', 'strengthen', 'block', 'below'], 'below')
(['context', 'treated', 'remaining', 'ivermectin'], 'context')
(['test', 'treatment', 'relevant', 'medications'], 'relevant')
(['nationally', 'had', 'templates', 'approving'], 'had')
(['initial', 'tungiasis', 'control', 'prevention'], 'initial')
(['table', 'armenia', 'nationwide', 'mobilizing'], 'table')
(['donor', 'risk', 'domestic', 'apply'], 'risk')
(['ivermectin', 'nation', 'industry', 'vendors'], 'ivermectin')
(['zoonoses', 'national', 'neglected', 'combat'], 'national')
(['results', 'mobilizing', 'represented', 'glossary'], 'results')
(['shortages', 'employment', 'promotes', 'should'], 'should')
(['failed', 'already', 'january', 'delivered'], 'january')
(['helminthiases', 'why', 'resistance', 'trematodiases'], 'why')
(['national', 'tele', 'offer', 'shifting'], 'national')
(['execution', 'prioritization', 'logical', 'kind'], 'kind')
(['districts', 'establish', 'substantial', 'reached'], 'establish')
(['may', 'could', 'accessed', 'would'], 'accessed')
(['formulations', 'leaders', 'mycetoma', 'alb'], 'leaders')
(['middle', 'endemic', 'timeframe', 'territories'], 'timeframe')
(['period', 'home', 'diagnosis', 'allowing'], 'period')
(['mobile', 'akeyo', 'leadership', 'penetration'], 'leadership')
(['team', 'ment', 'manufacturers', 'did'], 'team')
(['stalled', 'followed', 'achieved', 'strengthened'], 'followed')
(['broad', 'handle', 'january', 'pdf'], 'broad')
(['companion', 'road', 'society', 'cover'], 'society')
(['experts', 'input', 'matter', 'centred'], 'centred')
(['american', 'assist', 'switzerland', 'washington'], 'assist')
(['seeks', 'assists', 'valuable', 'successes'], 'seeks')
(['oversight', 'been', 'failed', 'delivered'], 'oversight')
(['described', 'nongovernmental', 'necessary', 'combination'], 'nongovernmental')
(['processes', 'functions', 'structures', 'million'], 'million')
(['societal', 'implementation', 'shifting', 'cities'], 'implementation')
(['prioritize', 'disability', 'timeline', 'owning'], 'disability')
(['shift', 'economy', 'been', 'healthy'], 'been')
(['presence', 'connections', 'input', 'para'], 'input')
(['infrastructure', 'received', 'operate', 'incentives'], 'received')
(['performance', 'insecticide', 'same', 'templates'], 'same')
(['corrective', 'journal', 'divergences', 'proposed'], 'journal')
(['processes', 'equatorial', 'guatemala', 'ivoire'], 'processes')
(['derived', 'quantitative', 'evaluated', 'capacity'], 'capacity')
(['accountable', 'multiple', 'futures', 'various'], 'futures')
(['lymphatic', 'filariasis', 'onchocerciasis', 'standards'], 'standards')
(['manufacturers', 'monitoring', 'companies', 'ment'], 'monitoring')
(['steps', 'researchers', 'prescription', 'seamless'], 'steps')
(['database', 'process', 'cataloguing', 'purchase'], 'process')
(['earlier', 'attended', 'dominican', 'compliance'], 'compliance')
(['but', 'formulations', 'rapid', 'rifampicin'], 'but')
(['initial', 'phones', 'telephone', 'digitally'], 'initial')
(['living', 'aspirational', 'statement', 'draft'], 'living')
(['economist', 'scientist', 'associated', 'inayatullah'], 'associated')
(['claims', 'infringement', 'health', 'copyright'], 'health')
(['develops', 'produce', 'your', 'dengue'], 'dengue')
(['greater', 'final', 'less', 'still'], 'final')
(['discussions', 'privacy', 'big', 'security'], 'discussions')
(['therapeutics', 'virtual', 'ecosystem', 'interoperable'], 'virtual')
(['commit', 'management', 'works', 'builds'], 'management')
(['committees', 'individual', 'committee', 'task'], 'individual')
(['tested', 'roles', 'consultations', 'adults'], 'roles')
(['starting', 'launch', 'fight', 'vol'], 'starting')
(['registries', 'referrals', 'above', 'trials'], 'above')
(['accuracy', 'different', 'prior', 'thematic'], 'different')
(['manner', 'seeks', 'select', 'togo'], 'togo')
(['item', 'documents', 'interim', 'worker'], 'worker')
(['family', 'kingdom', 'actions', 'ministry'], 'actions')
(['actual', 'actions', 'public', 'divergences'], 'public')
(['purchase', 'reflect', 'villagereach', 'press'], 'reflect')
(['middle', 'income', 'smaller', 'framework'], 'framework')
(['japan', 'duration', 'undertaken', 'timing'], 'japan')
(['control', 'desired', 'monitored', 'improvements'], 'control')
(['future', 'operate', 'forum', 'futures'], 'operate')
(['power', 'cross', 'cabo', 'para'], 'cross')
(['uganda', 'operate', 'guatemala', 'chad'], 'operate')
(['risks', 'regional', 'mitigate', 'potential'], 'regional')
(['comments', 'updated', 'interim', 'scale'], 'scale')
(['tpp', 'leaders', 'sector', 'traditional'], 'tpp')
(['office', 'would', 'already', 'can'], 'office')
(['donated', 'donations', 'build', 'christopher'], 'build')
(['test', 'prescriptions', 'prescribing', 'economic'], 'economic')
(['interests', 'start', 'strengthen', 'understand'], 'strengthen')
(['assessing', 'emerge', 'reducing', 'conducting'], 'emerge')
(['vaccines', 'foster', 'objective', 'innovative'], 'vaccines')
(['remains', 'box', 'chagas', 'infectious'], 'box')
(['examples', 'azar', 'verification', 'kala'], 'examples')
(['improvements', 'defining', 'concrete', 'program'], 'program')
(['choices', 'agreement', 'beyond', 'found'], 'beyond')
(['table', 'exhaustive', 'openwho', 'planannex'], 'openwho')
(['endorsement', 'endorse', 'patients', 'gain'], 'patients')
(['bottom', 'estimation', 'china', 'down'], 'china')
(['scope', 'timing', 'department', 'sequencing'], 'department')
(['seamless', 'could', 'prescription', 'promotes'], 'could')
(['glossary', 'para', 'clearly', 'represented'], 'clearly')
(['preferred', 'even', 'slow', 'legacy'], 'preferred')
(['started', 'eliminated', 'legal', 'decreased'], 'legal')
(['clinical', 'conversely', 'nevertheless', 'shown'], 'clinical')
(['level', 'successes', 'valuable', 'assists'], 'level')
(['should', 'expansion', 'periodic', 'inclusion'], 'should')
(['selection', 'user', 'peru', 'telehealth'], 'peru')
(['approve', 'synergies', 'alth', 'adjust'], 'alth')
(['exploration', 'regulatory', 'ultimately', 'duration'], 'regulatory')
(['text', 'voice', 'economic', 'audio'], 'economic')
(['integrity', 'protection', 'three', 'confidentiality'], 'three')
(['initially', 'accessed', 'influence', 'involve'], 'accessed')
(['croatia', 'nationwide', 'context', 'armenia'], 'context')
(['cce', 'adverse', 'considered', 'virus'], 'considered')
(['security', 'adults', 'solutions', 'ethics'], 'adults')
(['processing', 'integrity', 'analytics', 'outputs'], 'outputs')
(['framework', 'vulnerable', 'telephone', 'confidentiality'], 'framework')
(['proposed', 'abortion', 'divergences', 'corrective'], 'abortion')
(['substantially', 'stakeholders', 'para', 'seamless'], 'stakeholders')
(['item', 'accelerated', 'gen', 'activities'], 'activities')
(['setting', 'mental', 'approve', 'regulating'], 'mental')
(['delivering', 'recap', 'analysing', 'database'], 'delivering')
(['weekly', 'process', 'cataloguing', 'analysing'], 'process')
(['effective', 'international', 'efficient', 'emphasis'], 'international')
(['design', 'disruptions', 'indonesia', 'proportion'], 'design')
(['partnerships', 'not', 'synergies', 'coordination'], 'not')
(['dominican', 'rwanda', 'pakistan', 'assist'], 'assist')
(['determine', 'launch', 'arbovirus', 'program'], 'determine')
(['substantial', 'reached', 'ensure', 'districts'], 'ensure')
(['get', 'virtual', 'transport', 'extent'], 'virtual')
(['national', 'midwives', 'symptoms', 'treatments'], 'national')
(['resolutions', 'defining', 'read', 'croatia'], 'defining')
(['stalled', 'detailed', 'process', 'team'], 'stalled')
(['purchasing', 'relevant', 'realize', 'glossary'], 'relevant')
(['urgent', 'case', 'innovations', 'shaped'], 'case')
(['text', 'technical', 'audio', 'voice'], 'technical')
(['prevention', 'exchanges', 'perspective', 'reuse'], 'prevention')
(['targets', 'professional', 'each', 'rationale'], 'professional')
(['nature', 'certain', 'deliverables', 'computing'], 'computing')
(['validate', 'bring', 'develops', 'levels'], 'levels')
(['point', 'ministerial', 'industry', 'civil'], 'point')
(['undertaken', 'september', 'help', 'exist'], 'september')
(['peru', 'peripheral', 'goals', 'comorbidities'], 'goals')
(['foster', 'objective', 'innovative', 'ippa'], 'ippa')
(['iris', 'sales', 'library', 'input'], 'input')
(['access', 'resolutions', 'uneven', 'epidemics'], 'access')
(['them', 'schistosomiasis', 'kala', 'azar'], 'them')
(['reuse', 'vector', 'exchanges', 'perspective'], 'vector')
(['exchanges', 'external', 'cip', 'cataloguing'], 'external')
(['house', 'tetanus', 'booster', 'typically'], 'typically')
(['reached', 'started', 'can', 'districts'], 'can')
(['paraguay', 'leste', 'context', 'passed'], 'context')
(['alth', 'antimicrobial', 'geneva', 'assembly'], 'antimicrobial')
(['metrics', 'activity', 'seamless', 'disseminate'], 'activity')
(['refined', 'orld', 'pan', 'hall'], 'refined')
(['effect', 'pace', 'incremental', 'with'], 'with')
(['cutting', 'children', 'multisectoral', 'cross'], 'children')
(['introduced', 'clarifying', 'approval', 'optional'], 'introduced')
(['ment', 'renewed', 'education', 'immediate'], 'education')
(['phases', 'exploration', 'concepts', 'history'], 'history')
(['society', 'actual', 'corrective', 'causes'], 'society')
(['systems', 'frontiers', 'maps', 'dashed'], 'systems')
(['benefits', 'achieving', 'published', 'priorities'], 'published')
(['alb', 'mebendazole', 'toolkit', 'rifampicin'], 'toolkit')
(['dotted', 'flows', 'approximate', 'border'], 'flows')
(['consent', 'patient', 'pacific', 'worker'], 'pacific')
(['accountable', 'closely', 'interests', 'dependent'], 'dependent')
(['establish', 'understood', 'very', 'refinement'], 'establish')
(['initial', 'big', 'standardization', 'analytics'], 'initial')
(['practical', 'seeks', 'lack', 'microplanning'], 'lack')
(['professor', 'defined', 'dominican', 'inayatullah'], 'defined')
(['penetration', 'dependencies', 'phones', 'recipient'], 'dependencies')
(['forum', 'futures', 'prioritization', 'future'], 'prioritization')
(['achievability', 'review', 'direction', 'professionals'], 'professionals')
(['honduras', 'what', 'guyana', 'guatemala'], 'what')
(['policies', 'structures', 'regulatory', 'during'], 'during')
(['framework', 'get', 'located', 'caregivers'], 'framework')
(['chain', 'expanded', 'elmis', 'main'], 'main')
(['draft', 'capable', 'employment', 'space'], 'draft')
(['barriers', 'gaps', 'mitigate', 'western'], 'western')
(['telemedecine', 'individuals', 'select', 'accelerated'], 'individuals')
(['would', 'conducted', 'already', 'can'], 'conducted')
(['para', 'desk', 'accelerated', 'workers'], 'workers')
(['execution', 'continuous', 'providers', 'logical'], 'providers')
(['funding', 'inayatullah', 'scientist', 'economist'], 'funding')
(['mitigating', 'regions', 'workflow', 'checklist'], 'regions')
(['cold', 'endorsed', 'supply', 'equipment'], 'endorsed')
(['historically', 'indonesia', 'art', 'plan'], 'plan')
(['indigenous', 'historically', 'sars', 'they'], 'they')
(['single', 'pipeline', 'would', 'roadmap'], 'would')
(['brainstorming', 'approached', 'respond', 'internal'], 'respond')
(['uniting', 'hat', 'launch', 'linked'], 'linked')
(['electronically', 'person', 'fgs', 'secure'], 'fgs')
(['tetanus', 'alliance', 'aesi', 'how'], 'how')
(['tangible', 'manila', 'europe', 'john'], 'tangible')
(['policies', 'maps', 'approximate', 'dotted'], 'policies')
(['para', 'environment', 'speaker', 'economist'], 'environment')
(['sales', 'successful', 'mail', 'addressed'], 'successful')
(['promotes', 'heal', 'disseminate', 'role'], 'role')
(['chain', 'its', 'supply', 'storage'], 'its')
(['page', 'baseline', 'figure', 'requiring'], 'requiring')
(['malawi', 'rwanda', 'yemen', 'accreditation'], 'accreditation')
(['closely', 'accountable', 'interests', 'principal'], 'principal')
(['effect', 'get', 'emergency', 'geographic'], 'emergency')
(['constraints', 'delivering', 'int', 'securing'], 'int')
(['mitigating', 'anticipate', 'developing', 'highlighting'], 'developing')
(['order', 'formulations', 'mebendazole', 'alb'], 'order')
(['existing', 'glucose', 'diabetes', 'akeyo'], 'existing')
(['senior', 'monitor', 'allowing', 'effectiveness'], 'senior')
(['hygiene', 'sanitation', 'veterinary', 'should'], 'should')
(['same', 'organizational', 'ethics', 'capability'], 'same')
(['rethink', 'tomorrow', 'emergencies', 'broad'], 'broad')
(['directories', 'parameters', 'intended', 'inequities'], 'intended')
(['entities', 'statement', 'sectors', 'beneficiaries'], 'statement')
(['understanding', 'earlier', 'encounters', 'sea'], 'understanding')
(['incremental', 'effect', 'included', 'responsive'], 'included')
(['purchased', 'insight', 'investment', 'learn'], 'investment')
(['website', 'results', 'openwho', 'villagereach'], 'results')
(['disabilities', 'connections', 'affordable', 'initial'], 'initial')
(['forces', 'benefits', 'inequality', 'disseminated'], 'benefits')
(['domestic', 'her', 'bodies', 'donor'], 'her')
(['whether', 'villagereach', 'classification', 'federation'], 'whether')
(['phone', 'solutions', 'robust', 'foster'], 'phone')
(['continuity', 'clarifying', 'gather', 'centralized'], 'gather')
(['capture', 'remotely', 'personal', 'national'], 'national')
(['improvement', 'connections', 'enterprise', 'work'], 'work')
(['person', 'secure', 'electronically', 'visions'], 'visions')
(['expectations', 'booster', 'proportion', 'periodic'], 'expectations')
(['chikungunya', 'injuries', 'death', 'these'], 'these')
(['mechanisms', 'malaria', 'uniting', 'infectious'], 'mechanisms')
(['determine', 'questions', 'evaluating', 'hong'], 'hong')
(['outline', 'programme', 'client', 'analyses'], 'programme')
(['templates', 'reimbursement', 'procedures', 'then'], 'then')
(['model', 'agreement', 'choices', 'found'], 'model')
(['reimbursement', 'following', 'shortages', 'infrastructure'], 'following')
(['concerning', 'territory', 'essential', 'whatsoever'], 'essential')
(['remote', 'communities', 'located', 'ensures'], 'ensures')
(['companion', 'decade', 'delayed', 'supporting'], 'supporting')
(['pakistan', 'operate', 'rwanda', 'economist'], 'operate')
(['influence', 'method', 'electronically', 'person'], 'method')
(['treatments', 'highest', 'decrease', 'function'], 'function')
(['adelaide', 'they', 'deloitte', 'touche'], 'they')
(['often', 'does', 'can', 'campaign'], 'campaign')
(['dominican', 'iran', 'asian', 'delivering'], 'delivering')
(['figure', 'visual', 'box', 'events'], 'events')
(['religious', 'nongovernmental', 'civil', 'once'], 'once')
(['inayatullah', 'gen', 'mechanisms', 'scientist'], 'mechanisms')
(['lifestyles', 'urbanization', 'demographic', 'management'], 'management')
(['sound', 'were', 'effective', 'reliable'], 'were')
(['bangkok', 'kong', 'editor', 'sustainability'], 'sustainability')
(['technologies', 'house', 'week', 'ivermectin'], 'technologies')
(['database', 'community', 'wish', 'endorses'], 'community')
(['workflow', 'exploration', 'generate', 'published'], 'published')
(['adults', 'change', 'tested', 'consultations'], 'change')
(['aspirational', 'home', 'reactions', 'alerts'], 'aspirational')
(['discussions', 'owning', 'resourcing', 'monitors'], 'discussions')
(['infringement', 'cited', 'integration', 'solely'], 'integration')
(['round', 'tas', 'second', 'that'], 'that')
(['interact', 'relationships', 'evolving', 'developing'], 'developing')
(['fellow', 'professor', 'figure', 'hong'], 'figure')
(['seven', 'represent', 'expert', 'approximate'], 'expert')
(['services', 'heal', 'analyses', 'procedures'], 'services')
(['universities', 'along', 'banks', 'institutions'], 'along')
(['amidst', 'mitigating', 'vision', 'recovery'], 'vision')
(['concepts', 'pragmatic', 'director', 'achievable'], 'director')
(['their', 'sectoral', 'edge', 'cross'], 'their')
(['roadmap', 'pipeline', 'single', 'important'], 'important')
(['occurring', 'figure', 'double', 'space'], 'figure')
(['strategy', 'week', 'ivermectin', 'house'], 'strategy')
(['figure', 'model', 'approving', 'settings'], 'settings')
(['electronically', 'timely', 'office', 'improve'], 'office')
(['management', 'above', 'exhaustive', 'sample'], 'management')
(['plan', 'item', 'art', 'launch'], 'plan')
(['operate', 'hard', 'great', 'double'], 'operate')
(['communication', 'manufacturers', 'mention', 'companies'], 'communication')
(['dimensions', 'mobile', 'below', 'description'], 'mobile')
(['reflected', 'foundations', 'operate', 'operation'], 'reflected')
(['delivering', 'constrain', 'incremental', 'topics'], 'delivering')
(['achievable', 'versus', 'concrete', 'pan'], 'pan')
(['responsive', 'participatory', 'purchasing', 'reports'], 'reports')
(['innovative', 'stimulate', 'been', 'ethics'], 'been')
(['networking', 'harvard', 'culture', 'define'], 'define')
(['dengue', 'determining', 'whether', 'exist'], 'dengue')
(['design', 'protocol', 'nepal', 'solium'], 'design')
(['university', 'professor', 'hong', 'benefits'], 'benefits')
(['openwho', 'ehealth', 'parasitic', 'zoonoses'], 'ehealth')
(['registry', 'outreach', 'achievement', 'chws'], 'achievement')
(['around', 'forward', 'validation', 'extend'], 'validation')
(['nature', 'prevention', 'imply', 'permitted'], 'prevention')
(['delayed', 'ida', 'intent', 'policies'], 'policies')
(['mentioned', 'preference', 'core', 'nature'], 'core')
(['nongovernmental', 'aid', 'agency', 'questions'], 'questions')
(['manual', 'oversee', 'influence', 'aesi'], 'influence')
(['mitigate', 'overcome', 'pandemic', 'agencies'], 'agencies')
(['sequence', 'about', 'recap', 'consists'], 'about')
(['digital', 'earlier', 'pledges', 'lifestyles'], 'digital')
(['successful', 'smaller', 'eastern', 'middle'], 'successful')
(['solium', 'taeniasis', 'scabies', 'but'], 'but')
(['parameters', 'role', 'sms', 'cloud'], 'role')
(['actions', 'receive', 'want', 'decrease'], 'actions')
(['explore', 'undertaken', 'platform', 'nonfunctional'], 'platform')
(['big', 'intelligence', 'out', 'artificial'], 'out')
(['mode', 'member', 'combining', 'accessing'], 'member')
(['help', 'mediation', 'shall', 'alth'], 'help')
(['that', 'tailored', 'sequence', 'sociocultural'], 'that')
(['multisectoral', 'alth', 'stakeholder', 'consultation'], 'alth')
(['phases', 'each', 'targets', 'ehr'], 'ehr')
(['protect', 'point', 'curricula', 'adaptation'], 'point')
(['professionals', 'disclaimer', 'concepts', 'chapter'], 'professionals')
(['should', 'manner', 'would', 'campaigns'], 'campaigns')
(['availability', 'adelaide', 'principal', 'september'], 'availability')
(['disruption', 'epidemic', 'criteria', 'portfolio'], 'criteria')
(['solutions', 'security', 'was', 'ethics'], 'was')
(['villagereach', 'federation', 'expected', 'classification'], 'expected')
(['maps', 'dotted', 'education', 'approximate'], 'education')
(['preference', 'expression', 'demand', 'ment'], 'demand')
(['another', 'compliant', 'software', 'big'], 'another')
(['addressed', 'sales', 'mail', 'focus'], 'focus')
(['multiple', 'original', 'various', 'accountable'], 'original')
(['protocols', 'crisis', 'testing', 'templates'], 'crisis')
(['infections', 'infection', 'indigenous', 'developing'], 'developing')
(['middle', 'plans', 'smaller', 'eastern'], 'plans')
(['holder', 'claims', 'rests', 'delivery'], 'delivery')
(['pathways', 'just', 'examples', 'table'], 'pathways')
(['stimulate', 'participatory', 'forces', 'opinion'], 'opinion')
(['transparency', 'partner', 'reasons', 'guide'], 'reasons')
(['indicators', 'served', 'indicator', 'output'], 'served')
(['eradication', 'longer', 'ask', 'unable'], 'eradication')
(['ordering', 'orders', 'context', 'trials'], 'context')
(['performance', 'historically', 'eliminated', 'togo'], 'performance')
(['developing', 'continuity', 'clarifying', 'centralized'], 'developing')
(['asian', 'kingdom', 'institute', 'ehealth'], 'ehealth')
(['tpp', 'diagnostics', 'tests', 'section'], 'section')
(['accountable', 'multiple', 'various', 'employed'], 'employed')
(['examples', 'expert', 'assistance', 'initially'], 'examples')
(['check', 'para', 'esanjeevaniopd', 'ehealth'], 'ehealth')
(['repurposed', 'undertaken', 'probably', 'committee'], 'committee')
(['kristin', 'landmark', 'board', 'related'], 'related')
(['interests', 'perspective', 'understand', 'supply'], 'supply')
(['provision', 'application', 'january', 'incorporating'], 'january')
(['rifampicin', 'morbidity', 'its', 'mebendazole'], 'its')
(['uganda', 'equatorial', 'rwanda', 'process'], 'process')
(['helps', 'expected', 'collaboration', 'accomplishments'], 'collaboration')
(['authentication', 'outcome', 'directories', 'trials'], 'outcome')
(['publications', 'geographic', 'requirements', 'functional'], 'publications')
(['outputs', 'etc', 'such', 'raising'], 'outputs')
(['lack', 'binding', 'english', 'original'], 'lack')
(['selecting', 'plans', 'confirming', 'your'], 'plans')
(['national', 'alb', 'mebendazole', 'rifampicin'], 'national')
(['undertaking', 'profile', 'many', 'differ'], 'profile')
(['timing', 'duration', 'undertaken', 'paho'], 'paho')
(['months', 'three', 'split', 'protection'], 'protection')
(['planpage', 'symptoms', 'desk', 'country'], 'country')
(['inayatullah', 'risks', 'professor', 'holds'], 'risks')
(['scabies', 'noting', 'tangible', 'delivers'], 'scabies')
(['engage', 'phone', 'aligned', 'phasesengage'], 'phone')
(['professor', 'kong', 'pragmatic', 'harvard'], 'pragmatic')
(['line', 'approximate', 'represent', 'china'], 'china')
(['stalled', 'pilots', 'occurred', 'assembly'], 'assembly')
(['home', 'understanding', 'registries', 'trials'], 'understanding')
(['monitored', 'collaborating', 'desired', 'improvements'], 'collaborating')
(['institutional', 'build', 'sustain', 'described'], 'described')
(['initially', 'model', 'either', 'contact'], 'model')
(['according', 'depending', 'from', 'maturity'], 'from')
(['users', 'far', 'workflows', 'end'], 'far')
(['team', 'hard', 'living', 'populations'], 'team')
(['highest', 'treatments', 'decrease', 'framework'], 'framework')
(['explored', 'foundations', 'highlighted', 'views'], 'foundations')
(['site', 'dependencies', 'press', 'www'], 'dependencies')
(['functionality', 'tasks', 'gains', 'vaccination'], 'vaccination')
(['channels', 'extent', 'achieving', 'importance'], 'channels')
